UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
O15263;DEFB4A, DEFB4B;Defensin beta 4A;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enriched: esophagus, Group enriched: esophagus, lymphoid tissue
O15357;INPPL1;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
O15444;CCL25;C-C motif chemokine 25;Olink Explore Inflammation, Olink Target 96 Inflammation;Group enriched: intestine, lymphoid tissue
O15455;TLR3;Toll-like receptor 3;Olink Explore Inflammation, Olink Target 96 Oncology II;Low tissue specificity
O15467;CCL16;C-C motif chemokine 16;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: liver
O15496;PLA2G10;Group 10 secretory phospholipase A2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Group enriched: intestine, pancreas, stomach 1
O43155;FLRT2;Leucine-rich repeat transmembrane protein FLRT2;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: ovary, pancreas
O43240;KLK10;Kallikrein-10;Olink Explore Oncology, Olink Target 96 Metabolism;Group enriched: esophagus, vagina
O43278;SPINT1;Kunitz-type protease inhibitor 1;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: esophagus
O43291;SPINT2;Kunitz-type protease inhibitor 2;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
O43464;HTRA2;Serine protease HTRA2, mitochondrial;Olink Explore Oncology, Olink Target 96 Development;Low tissue specificity
O43505;B4GAT1;Beta-1,4-glucuronyltransferase 1;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: brain
O43521;BCL2L11;Bcl-2-like protein 11;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Low tissue specificity
O43524;FOXO3;Forkhead box protein O3;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
O43561;LAT;Linker for activation of T-cells family member 1;Olink Explore Inflammation, Olink Target 96 Neurology;Tissue enriched: lymphoid tissue
O43570;CA12;Carbonic anhydrase 12;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: kidney, skin 1
O43597;SPRY2;Protein sprouty homolog 2;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
O43699;SIGLEC6;Sialic acid-binding Ig-like lectin 6;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enriched: placenta
O43707;ACTN4;Alpha-actinin-4;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
O43736;ITM2A;Integral membrane protein 2A;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
O43752;STX6;Syntaxin-6;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
O43827;ANGPTL7;Angiopoietin-related protein 7;Olink Explore Oncology, Olink Target 96 Metabolism;Low tissue specificity
O43854;EDIL3;EGF-like repeat and discoidin I-like domain-containing protein 3;Olink Explore Cardiometabolic, Olink Target 96 Organ Damage;Tissue enriched: brain
O43895;XPNPEP2;Xaa-Pro aminopeptidase 2;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: intestine, kidney
O60240;PLIN1;Perilipin-1;Olink Explore Neurology, Olink Target 96 Organ Damage;Group enriched: adipose tissue, breast
O60242;ADGRB3;Adhesion G protein-coupled receptor B3;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Group enriched: brain, pituitary gland
O60243;HS6ST1;Heparan-sulfate 6-O-sulfotransferase 1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
O60259;KLK8;Kallikrein-8;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: esophagus, skin 1, vagina
O60449;LY75;Lymphocyte antigen 75;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: lymphoid tissue
O60462;NRP2;Neuropilin-2;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
O60542;PSPN;Persephin;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: brain
O60575;SPINK4;Serine protease inhibitor Kazal-type 4;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enriched: intestine
O60609;GFRA3;GDNF family receptor alpha-3;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
O60760;HPGDS;Hematopoietic prostaglandin D synthase;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: placenta
O60763;USO1;General vesicular transport factor p115;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle
O60880;SH2D1A;SH2 domain-containing protein 1A;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: lymphoid tissue
O60907;TBL1X;F-box-like/WD repeat-containing protein TBL1X;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
O60911;CTSV;Cathepsin L2;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enriched: lymphoid tissue
O60934;NBN;Nibrin;Olink Explore Inflammation, Olink Target 96 Organ Damage;Low tissue specificity
O75015;FCGR3B;Low affinity immunoglobulin gamma Fc region receptor III-B;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: bone marrow, lymphoid tissue
O75023;LILRB5;Leukocyte immunoglobulin-like receptor subfamily B member 5;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: adipose tissue, lymphoid tissue
O75054;IGSF3;Immunoglobulin superfamily member 3;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
O75077;ADAM23;Disintegrin and metalloproteinase domain-containing protein 23;Olink Explore Inflammation, Olink Target 96 Neurology;Tissue enhanced: brain, parathyroid gland
O75326;SEMA7A;Semaphorin-7A;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enhanced: lymphoid tissue, retina
O75356;ENTPD5;Nucleoside diphosphate phosphatase ENTPD5;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: intestine, kidney, liver
O75475;PSIP1;PC4 and SFRS1-interacting protein;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
O75569;PRKRA;Interferon-inducible double-stranded RNA-dependent protein kinase activator A;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
O75594;PGLYRP1;Peptidoglycan recognition protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow
O75695;RP2;Protein XRP2;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: bone marrow
O75787;ATP6AP2;Renin receptor;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enriched: parathyroid gland
O75791;GRAP2;GRB2-related adapter protein 2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: lymphoid tissue
O75888;TNFSF13;Tumor necrosis factor ligand superfamily member 13;Olink Explore Inflammation, Olink Target 96 Oncology II;Tissue enhanced: salivary gland
O76038;SCGN;Secretagogin;Olink Explore Inflammation, Olink Target 96 Oncology III;Group enriched: brain, intestine, pancreas, pituitary gland, stomach 1
O76070;SNCG;Gamma-synuclein;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: adrenal gland, brain
O94760;DDAH1;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: brain, kidney
O94779;CNTN5;Contactin-5;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain, placenta, salivary gland, thyroid gland
O94907;DKK1;Dickkopf-related protein 1;Olink Explore Neurology, Olink Target 96 Cardiovascular II;Tissue enhanced: cervix, placenta, urinary bladder
O94985;CLSTN1;Calsyntenin-1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
O94992;HEXIM1;Protein HEXIM1;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
O95183;VAMP5;Vesicle-associated membrane protein 5;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Low tissue specificity
O95274;LYPD3;Ly6/PLAUR domain-containing protein 3;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: esophagus, skin 1, vagina
O95379;TNFAIP8;Tumor necrosis factor alpha-induced protein 8;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue
O95388;CCN4;CCN family member 4;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
O95407;TNFRSF6B;Tumor necrosis factor receptor superfamily member 6B;Olink Explore Neurology, Olink Target 96 Oncology II;Tissue enhanced: lung
O95445;APOM;Apolipoprotein M;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
O95502;NPTXR;Neuronal pentraxin receptor;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: brain
O95544;NADK;NAD kinase;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
O95630;STAMBP;STAM-binding protein;Olink Explore Neurology, Olink Target 96 Inflammation;Low tissue specificity
O95633;FSTL3;Follistatin-related protein 3;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
O95644;NFATC1;Nuclear factor of activated T-cells, cytoplasmic 1;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Low tissue specificity
O95715;CXCL14;C-X-C motif chemokine 14;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: skin 1
O95721;SNAP29;Synaptosomal-associated protein 29;Olink Explore Oncology, Olink Target 96 Development;Low tissue specificity
O95750;FGF19;Fibroblast growth factor 19;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enriched: gallbladder
O95786;DDX58;Antiviral innate immune response receptor RIG-I;Olink Explore Oncology, Olink Target 96 Immune Response;Low tissue specificity
O95831;AIFM1;Apoptosis-inducing factor 1, mitochondrial;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
O95841;ANGPTL1;Angiopoietin-related protein 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: placenta
O95971;CD160;CD160 antigen;Olink Explore Inflammation, Olink Target 96 Oncology II;Tissue enhanced: lymphoid tissue
O95988;TCL1B;T-cell leukemia/lymphoma protein 1B;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Tissue enhanced: bone marrow, lymphoid tissue, testis
O95994;AGR2;Anterior gradient protein 2 homolog;Olink Explore Neurology, Olink Target 96 Organ Damage;Tissue enhanced: cervix, intestine, stomach 1
O95998;IL18BP;Interleukin-18-binding protein;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue
O96013;PAK4;Serine/threonine-protein kinase PAK 4;Olink Explore Neurology, Olink Target 96 Cell Regulation;Low tissue specificity
P00352;ALDH1A1;Aldehyde dehydrogenase 1A1;Olink Explore Neurology, Olink Target 96 Metabolism;Tissue enhanced: liver
P00441;SOD1;Superoxide dismutase [Cu-Zn];Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: liver
P00519;ABL1;Tyrosine-protein kinase ABL1;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P00533;EGFR;Epidermal growth factor receptor;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: placenta
P00750;PLAT;Tissue-type plasminogen activator;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: parathyroid gland, urinary bladder
P00797;REN;Renin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: kidney
P00915;CA1;Carbonic anhydrase 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Group enriched: bone marrow, intestine
P00918;CA2;Carbonic anhydrase 2;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: intestine, stomach 1
P00995;SPINK1;Serine protease inhibitor Kazal-type 1;Olink Explore Neurology, Olink Target 96 Development;Tissue enriched: pancreas
P01033;TIMP1;Metalloproteinase inhibitor 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: urinary bladder
P01034;CST3;Cystatin-C;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: brain
P01130;LDLR;Low-density lipoprotein receptor;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: adrenal gland
P01215;CGA;Glycoprotein hormones alpha chain;Olink Explore Neurology, Olink Target 96 Development;Tissue enriched: pituitary gland
P01222;TSHB;Thyrotropin subunit beta;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: pituitary gland
P01229;LHB;Lutropin subunit beta;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enriched: pituitary gland
P01241;GH1;Somatotropin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: pituitary gland
P01242;GH2;Growth hormone variant;Olink Explore Oncology, Olink Target 96 Cell Regulation;Group enriched: pituitary gland, placenta
P01258;CALCA;Calcitonin;Olink Explore Neurology, Olink Target 96 Organ Damage;Group enriched: parathyroid gland, thyroid gland
P01275;GCG;Pro-glucagon;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enriched: pancreas
P01298;PPY;Pancreatic prohormone;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enriched: pancreas
P01303;NPY;Pro-neuropeptide Y;Olink Explore Oncology, Olink Target 96 Oncology III;Group enriched: adrenal gland, brain, prostate
P01588;EPO;Erythropoietin;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enriched: liver
P01589;IL2RA;Interleukin-2 receptor subunit alpha;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder
P01591;JCHAIN;Immunoglobulin J chain;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: breast, intestine, stomach 1
P01833;PIGR;Polymeric immunoglobulin receptor;Olink Explore Neurology, Olink Target 96 Cardiovascular II;Tissue enhanced: intestine, salivary gland
P02144;MB;Myoglobin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Group enriched: heart muscle, skeletal muscle, tongue
P02452;COL1A1;Collagen alpha-1(I) chain;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: cervix, gallbladder
P02462;COL4A1;Collagen alpha-1(IV) chain;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Tissue enhanced: placenta
P02745;C1QA;Complement C1q subcomponent subunit A;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue
P02760;AMBP;Protein AMBP;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Tissue enriched: liver
P02771;AFP;Alpha-fetoprotein;Olink Explore Neurology, Olink Target 96 Oncology III;Tissue enriched: liver
P02786;TFRC;Transferrin receptor protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow
P03950;ANG;Angiogenin;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
P04066;FUCA1;Tissue alpha-L-fucosidase;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
P04070;PROC;Vitamin K-dependent protein C;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
P04080;CSTB;Cystatin-B;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: esophagus
P04085;PDGFA;Platelet-derived growth factor subunit A;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: skeletal muscle
P04179;SOD2;Superoxide dismutase [Mn], mitochondrial;Olink Explore Neurology, Olink Target 96 Cardiovascular II;Group enriched: bone marrow, skeletal muscle
P04216;THY1;Thy-1 membrane glycoprotein;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain, smooth muscle, urinary bladder
P04233;CD74;HLA class II histocompatibility antigen gamma chain;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: lymphoid tissue
P04275;VWF;von Willebrand factor;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
P04626;ERBB2;Receptor tyrosine-protein kinase erbB-2;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P04637;TP53;Cellular tumor antigen p53;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
P04792;HSPB1;Heat shock protein beta-1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: esophagus
P05067;APP;Amyloid-beta precursor protein;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
P05107;ITGB2;Integrin beta-2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow, lymphoid tissue
P05121;SERPINE1;Plasminogen activator inhibitor 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: gallbladder, liver, placenta, urinary bladder
P05164;MPO;Myeloperoxidase;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow
P05187;ALPP;Alkaline phosphatase, placental type;Olink Explore Oncology, Olink Target 96 Oncology III;Group enriched: cervix, placenta
P05362;ICAM1;Intercellular adhesion molecule 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: lung, urinary bladder
P05451;REG1A;Lithostathine-1-alpha;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: pancreas
P05556;ITGB1;Integrin beta-1;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
P06681;C2;Complement C2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
